UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
2075,14.0,1.0,2.0,7.0
2243,6.0,2.0,2.0,7.0
870,24.0,1.0,2.0,7.0
1464,31.0,1.0,2.0,7.0
1626,22.0,1.0,2.0,7.0
1290,22.0,1.0,2.0,7.0
2274,39.0,1.0,2.0,7.0
1641,31.0,1.0,2.0,7.0
967,27.0,1.0,2.0,7.0
440,23.0,3.0,1.0,5.0
1983,16.0,1.0,2.0,7.0
994,27.0,3.0,2.0,7.0
817,25.0,1.0,2.0,7.0
210,14.0,1.0,4.0,1.0
743,19.0,1.0,2.0,7.0
1317,12.0,1.0,2.0,7.0
1579,22.0,1.0,2.0,7.0
2300,39.0,1.0,2.0,7.0
159,11.0,2.0,1.0,16.0
1343,16.0,1.0,2.0,7.0
1121,14.0,2.0,2.0,7.0
1499,26.0,1.0,2.0,7.0
1730,23.0,2.0,2.0,7.0
1075,20.0,1.0,2.0,7.0
25,17.0,3.0,1.0,22.0
1995,23.0,2.0,2.0,7.0
466,14.0,1.0,1.0,2.0
2136,35.0,2.0,2.0,7.0
27,14.0,2.0,1.0,22.0
160,16.0,1.0,1.0,16.0
1521,20.0,2.0,2.0,7.0
785,21.0,1.0,2.0,7.0
865,14.0,1.0,2.0,7.0
2195,26.0,1.0,2.0,7.0
790,32.0,1.0,2.0,7.0
334,7.0,1.0,1.0,7.0
683,16.0,1.0,2.0,7.0
118,13.0,5.0,3.0,16.0
1291,23.0,1.0,2.0,7.0
1150,23.0,1.0,2.0,7.0
2230,14.0,1.0,2.0,7.0
6,23.0,5.0,5.0,20.0
1108,18.0,2.0,2.0,7.0
196,24.0,4.0,1.0,15.0
2414,91.0,1.0,2.0,7.0
2145,56.0,1.0,2.0,7.0
1069,19.0,1.0,2.0,7.0
357,17.0,1.0,8.0,7.0
1149,21.0,1.0,2.0,7.0
396,31.0,1.0,3.0,4.0
2054,63.0,1.0,2.0,7.0
98,18.0,1.0,1.0,15.0
1797,28.0,1.0,2.0,7.0
13,19.0,1.0,1.0,12.0
46,17.0,4.0,2.0,20.0
1696,29.0,3.0,2.0,7.0
491,34.0,2.0,1.0,3.0
152,10.0,3.0,1.0,15.0
2055,13.0,2.0,2.0,7.0
490,23.0,3.0,1.0,5.0
479,11.0,6.0,2.0,1.0
827,28.0,2.0,2.0,7.0
1840,13.0,1.0,2.0,7.0
810,29.0,2.0,2.0,7.0
2458,23.0,2.0,2.0,7.0
34,29.0,1.0,1.0,18.0
1960,29.0,1.0,2.0,7.0
2105,17.0,2.0,2.0,7.0
1299,26.0,1.0,2.0,7.0
1742,13.0,1.0,2.0,7.0
1253,15.0,2.0,2.0,7.0
2099,27.0,1.0,2.0,7.0
2287,36.0,1.0,2.0,7.0
206,32.0,2.0,2.0,7.0
1027,6.0,1.0,2.0,7.0
762,22.0,1.0,2.0,7.0
2001,44.0,1.0,2.0,7.0
1942,20.0,3.0,2.0,7.0
481,26.0,2.0,1.0,6.0
66,14.0,4.0,1.0,19.0
577,15.0,1.0,2.0,3.0
1809,20.0,3.0,2.0,7.0
1105,30.0,1.0,2.0,7.0
833,15.0,1.0,2.0,7.0
1728,23.0,1.0,2.0,7.0
1202,11.0,3.0,2.0,7.0
744,16.0,2.0,2.0,7.0
988,22.0,1.0,2.0,7.0
405,20.0,2.0,4.0,2.0
639,16.0,1.0,2.0,2.0
1777,15.0,1.0,2.0,7.0
342,16.0,1.0,4.0,14.0
1178,17.0,1.0,2.0,7.0
1029,25.0,2.0,2.0,7.0
1901,20.0,1.0,2.0,7.0
1690,19.0,1.0,2.0,7.0
1146,35.0,2.0,2.0,7.0
505,33.0,1.0,1.0,6.0
2187,88.0,1.0,2.0,7.0
1720,13.0,2.0,2.0,7.0
674,20.0,1.0,2.0,1.0
1717,21.0,1.0,2.0,7.0
1122,24.0,1.0,2.0,7.0
1288,13.0,1.0,2.0,7.0
521,23.0,2.0,2.0,1.0
420,20.0,2.0,1.0,2.0
644,15.0,1.0,2.0,2.0
518,11.0,1.0,2.0,3.0
431,24.0,3.0,1.0,3.0
1199,20.0,1.0,2.0,7.0
341,23.0,1.0,1.0,7.0
2168,36.0,1.0,2.0,7.0
534,19.0,3.0,2.0,3.0
1823,25.0,1.0,2.0,7.0
354,23.0,1.0,1.0,6.0
2088,42.0,1.0,2.0,7.0
1159,23.0,1.0,2.0,7.0
1705,24.0,2.0,2.0,7.0
2041,9.0,1.0,2.0,7.0
51,11.0,1.0,1.0,16.0
506,18.0,1.0,2.0,16.0
352,16.0,1.0,1.0,1.0
1748,25.0,1.0,2.0,7.0
589,12.0,3.0,2.0,1.0
871,19.0,1.0,2.0,7.0
2439,20.0,1.0,2.0,7.0
856,24.0,1.0,2.0,7.0
1445,22.0,1.0,2.0,7.0
494,24.0,1.0,2.0,3.0
570,23.0,1.0,2.0,5.0
1526,21.0,1.0,2.0,7.0
713,22.0,1.0,2.0,7.0
1689,22.0,2.0,2.0,7.0
2192,10.0,1.0,2.0,7.0
104,15.0,1.0,1.0,11.0
1760,16.0,3.0,2.0,7.0
1964,12.0,2.0,2.0,7.0
1311,15.0,1.0,2.0,7.0
1170,22.0,1.0,2.0,7.0
1910,14.0,2.0,2.0,7.0
1834,17.0,1.0,2.0,7.0
33,17.0,3.0,1.0,17.0
1457,15.0,1.0,2.0,7.0
636,17.0,1.0,2.0,19.0
1974,25.0,1.0,2.0,7.0
1310,23.0,1.0,2.0,7.0
55,24.0,1.0,1.0,15.0
859,22.0,2.0,2.0,7.0
1282,26.0,1.0,2.0,7.0
618,20.0,1.0,2.0,1.0
2120,31.0,1.0,2.0,7.0
1645,13.0,1.0,2.0,7.0
924,26.0,1.0,2.0,7.0
28,34.0,1.0,1.0,11.0
2127,23.0,1.0,2.0,7.0
19,27.0,1.0,1.0,14.0
21,21.0,1.0,5.0,14.0
1524,22.0,1.0,2.0,7.0
1762,10.0,1.0,2.0,7.0
1814,25.0,2.0,2.0,7.0
133,24.0,1.0,5.0,19.0
1395,13.0,1.0,2.0,7.0
